3,3
3,8
8,3
8,8
3,0
0,3
3,4
4,3
5,13
8,4
8,0
4,8
0,8
3,5
11,3
3,11
5,5
5,3
3,6
6,3
8,5
13,5
3,7
8,11
11,8
5,8
0,0
1,5
7,3
7,7
4,4
6,8
8,6
0,4
4,0
3,9
9,3
7,17
5,1
1,3
3,1
13,3
0,5
3,12
12,3
8,7
8,1
5,0
1,8
9,8
8,9
9,5
11,5
4,5
13,8
7,8
1,1
2,5
0,6
0,11
11,0
6,0
6,4
13,1
4,6
11,4
17,3
5,4
5,9
5,11
4,11
12,8
8,12
5,2
6,5
12,5
2,3
3,2
1,0
10,3
7,5
9,9
0,1
18,3
3,18
5,7
13,0
3,16
0,9
9,0
3,10
4,1
5,12
17,7
16,3
0,7
1,2
17,8
5,6
1,4
14,5
17,17
2,1
16,8
6,6
8,2
1,11
12,9
11,1
13,11
1,9
8,16
9,4
13,2
2,8
7,0
9,1
11,7
